rank,symbol,score,tier,gap_pct,rel_volume,tags,Why,TopFeature1,TopFeature2,TopFeature3,TopFeature4,TopFeature5
"range(1, 21)",ASM,0.12981076125598429,C,0.83,1.6,"['LOW_FLOAT', 'FIFTY_TWO_WEEK_BREAKOUT']",—,,,,,
"range(1, 21)",KVUE,0.20852755961375857,C,1.55,2.1,['LOW_FLOAT'],—,,,,,
"range(1, 21)",RGTI,0.16798249900947604,C,0.17,1.98,"['LOW_FLOAT', 'FIFTY_TWO_WEEK_BREAKOUT']",—,,,,,
"range(1, 21)",AXTA,0.06765504412115492,C,0.61,1.67,['LOW_FLOAT'],—,,,,,
"range(1, 21)",TRP,0.13553983832062746,C,0.13,2.83,"['LOW_FLOAT', 'FIFTY_TWO_WEEK_BREAKOUT']",—,,,,,
"range(1, 21)",QUBT,0.14841209493410562,C,-0.15,2.45,['LOW_FLOAT'],—,,,,,
"range(1, 21)",KVYO,0.15547870652913337,C,-0.37,2.7,['LOW_FLOAT'],—,,,,,
"range(1, 21)",IREN,0.19550462553439352,C,-5.64,1.9,"['LOW_FLOAT', 'FIFTY_TWO_WEEK_BREAKOUT']",—,,,,,
"range(1, 21)",EMR,0.1861624473737899,C,0.27,2.17,['LOW_FLOAT'],—,,,,,
"range(1, 21)",PR,0.10469991863270234,C,0.15,2.02,['LOW_FLOAT'],—,,,,,
"range(1, 21)",LAC,0.338243512784564,C,-3.12,5.14,['LOW_FLOAT'],—,,,,,
"range(1, 21)",FE,0.13168465233673493,C,0.59,2.17,"['LOW_FLOAT', 'FIFTY_TWO_WEEK_BREAKOUT']",—,,,,,
"range(1, 21)",PHYS,0.13521581543695074,C,0.28,2.51,"['LOW_FLOAT', 'FIFTY_TWO_WEEK_BREAKOUT']",—,,,,,
"range(1, 21)",CIFR,0.1483034370814305,C,-1.42,2.42,['LOW_FLOAT'],—,,,,,
"range(1, 21)",HUN,0.09859106525349608,C,1.01,1.69,['LOW_FLOAT'],—,,,,,
"range(1, 21)",BA,0.227180433729278,C,4.6,2.39,"['LOW_FLOAT', 'FIFTY_TWO_WEEK_BREAKOUT']",—,,,,,
"range(1, 21)",IBM,0.15228646987873148,C,-0.33,1.85,"['LOW_FLOAT', 'FIFTY_TWO_WEEK_BREAKOUT']",—,,,,,
"range(1, 21)",PSLV,0.20763674649339836,C,0.6,2.45,"['LOW_FLOAT', 'FIFTY_TWO_WEEK_BREAKOUT']",—,,,,,
"range(1, 21)",CIEN,0.07516841962556677,C,2.24,1.61,"['LOW_FLOAT', 'FIFTY_TWO_WEEK_BREAKOUT']",—,,,,,
"range(1, 21)",CNM,0.07969717316320732,C,-0.02,1.69,['LOW_FLOAT'],—,,,,,
